Date,Open,High,Low,Close,Volume
04/04/2025,1240.0,1245.2,1192.9,1204.7,785059.0
04/03/2025,1239.0,1251.2,1234.6,1248.6,532522.0
04/02/2025,1250.4,1256.0,1243.8,1251.1,243303.0
04/01/2025,1274.6,1277.8,1250.0,1252.5,722008.0
03/28/2025,1279.3,1295.7,1269.1,1275.0,987799.0
03/27/2025,1275.1,1285.2,1272.1,1278.4,278220.0
03/26/2025,1290.3,1294.0,1269.0,1272.6,658347.0
03/25/2025,1307.0,1307.0,1283.0,1285.4,865836.0
03/24/2025,1286.4,1305.3,1281.0,1301.4,861533.0
03/21/2025,1270.1,1284.5,1270.1,1276.5,361299.0
03/20/2025,1254.2,1272.8,1250.0,1268.6,612659.0
03/19/2025,1242.0,1252.8,1239.4,1247.7,295426.0
03/18/2025,1243.5,1248.1,1234.9,1238.8,1740575.0
03/17/2025,1247.0,1257.2,1233.3,1240.4,422823.0
03/13/2025,1262.9,1264.0,1244.0,1247.4,302876.0
03/12/2025,1256.9,1261.6,1244.0,1256.6,426299.0
03/11/2025,1238.1,1249.6,1230.0,1247.4,305952.0
03/10/2025,1249.1,1258.0,1235.5,1238.2,245117.0
03/07/2025,1214.1,1254.5,1212.3,1249.1,794738.0
03/06/2025,1201.0,1214.0,1185.5,1210.6,652420.0
03/05/2025,1162.0,1183.1,1158.0,1175.8,348560.0
03/04/2025,1165.0,1174.1,1159.3,1161.7,286826.0
03/03/2025,1209.8,1209.8,1156.0,1171.1,542446.0
02/28/2025,1201.0,1217.4,1193.3,1199.6,437656.0
02/27/2025,1213.6,1215.0,1201.0,1207.1,193166.0
02/25/2025,1214.0,1221.0,1201.0,1203.9,881729.0
02/24/2025,1219.4,1223.0,1210.6,1214.8,477209.0
02/21/2025,1230.0,1240.0,1222.4,1227.7,907589.0
02/20/2025,1226.3,1239.4,1223.0,1233.1,206262.0
02/19/2025,1222.8,1232.8,1217.6,1227.0,110206.0
02/18/2025,1225.3,1230.0,1216.4,1225.0,206583.0
02/17/2025,1215.8,1227.2,1205.2,1224.8,207944.0
02/14/2025,1220.0,1224.3,1206.0,1217.0,358010.0
02/13/2025,1219.0,1228.0,1212.2,1216.2,360188.0
02/12/2025,1220.0,1227.9,1193.7,1215.7,596942.0
02/11/2025,1263.1,1263.4,1230.0,1234.6,554854.0
02/10/2025,1263.8,1266.0,1245.9,1253.4,539885.0
02/07/2025,1266.5,1284.8,1262.0,1266.9,375026.0
02/06/2025,1276.6,1287.4,1270.8,1281.6,160168.0
02/05/2025,1285.0,1290.0,1276.2,1278.1,355650.0
02/04/2025,1247.1,1289.0,1246.7,1286.0,397483.0
02/03/2025,1250.0,1255.9,1238.0,1245.2,396687.0
01/31/2025,1257.4,1266.0,1249.5,1264.9,412707.0
01/30/2025,1235.0,1256.6,1232.3,1253.6,462230.0
01/29/2025,1237.3,1242.8,1228.5,1235.8,358148.0
01/28/2025,1236.6,1244.2,1218.9,1233.8,364260.0
01/27/2025,1239.9,1240.5,1220.1,1229.3,411760.0
01/24/2025,1266.9,1273.1,1244.0,1245.9,430797.0
01/23/2025,1274.8,1277.3,1261.6,1263.9,235409.0
01/22/2025,1279.0,1282.9,1268.8,1277.3,2201402.0
01/21/2025,1310.0,1312.9,1269.6,1273.0,1210468.0
01/20/2025,1319.4,1319.4,1300.6,1305.0,242236.0
01/17/2025,1325.1,1325.1,1284.7,1301.3,1514067.0
01/16/2025,1260.2,1275.0,1251.4,1268.7,391749.0
01/15/2025,1247.0,1256.8,1242.2,1252.3,287139.0
01/14/2025,1240.0,1255.1,1227.3,1238.6,837785.0
01/13/2025,1230.0,1245.2,1225.6,1240.1,810470.0
01/10/2025,1255.9,1256.7,1236.2,1242.4,498991.0
01/09/2025,1267.9,1269.4,1248.0,1255.0,262909.0
01/08/2025,1251.2,1270.7,1245.0,1264.7,881916.0
01/07/2025,1221.7,1243.4,1221.4,1240.9,512057.0
01/06/2025,1251.6,1261.7,1215.3,1218.2,782428.0
01/03/2025,1247.8,1262.3,1235.6,1251.4,502895.0
01/02/2025,1220.7,1244.5,1220.3,1241.7,529144.0
01/01/2025,1219.0,1226.2,1212.1,1221.7,380215.0
12/31/2024,1210.4,1219.1,1206.4,1215.5,444246.0
12/30/2024,1219.7,1223.4,1208.7,1210.9,314452.0
12/27/2024,1216.7,1227.6,1216.7,1221.0,653086.0
12/26/2024,1224.7,1228.0,1214.5,1216.6,556935.0
12/24/2024,1231.9,1233.5,1221.5,1223.5,268064.0
12/23/2024,1217.3,1227.0,1213.2,1222.1,3332773.0
12/20/2024,1230.0,1239.8,1202.1,1206.0,1166317.0
12/19/2024,1240.0,1245.0,1229.4,1230.6,424104.0
12/18/2024,1243.4,1259.9,1241.8,1253.1,260426.0
12/17/2024,1262.7,1262.7,1242.6,1245.1,639483.0
12/16/2024,1275.0,1281.6,1266.9,1268.1,465483.0
12/13/2024,1265.0,1275.2,1240.0,1273.4,1106984.0
12/12/2024,1275.2,1278.1,1261.1,1263.9,683512.0
12/11/2024,1286.5,1290.0,1275.4,1278.1,594409.0
12/10/2024,1290.0,1295.0,1280.8,1285.0,438986.0
12/09/2024,1303.0,1315.5,1292.9,1295.2,554024.0
12/06/2024,1326.9,1326.9,1309.8,1311.8,412701.0
12/05/2024,1310.8,1329.5,1306.4,1321.2,674847.0
12/04/2024,1327.0,1329.0,1305.0,1309.0,438492.0
