Date,Close,Open,High,Low
31/12/2023,106.5187,106.5187,106.5187,106.5187
29/12/2023,106.5226,106.5226,106.5226,106.5226
28/12/2023,106.6477,106.6477,106.6477,106.6477
27/12/2023,106.1902,106.1902,106.1902,106.1902
26/12/2023,105.3757,105.3757,105.3757,105.3757
22/12/2023,105.0684,105.0684,105.0684,105.0684
21/12/2023,104.7482,104.7482,104.7482,104.7482
20/12/2023,104.3285,104.3285,104.3285,104.3285
19/12/2023,105.5255,105.5255,105.5255,105.5255
18/12/2023,105.3723,105.3723,105.3723,105.3723
15/12/2023,105.4704,105.4704,105.4704,105.4704
14/12/2023,104.4292,104.4292,104.4292,104.4292
13/12/2023,103.3539,103.3539,103.3539,103.3539
12/12/2023,103.2232,103.2232,103.2232,103.2232
11/12/2023,103.6138,103.6138,103.6138,103.6138
08/12/2023,103.4784,103.4784,103.4784,103.4784
07/12/2023,103.2018,103.2018,103.2018,103.2018
06/12/2023,103.3242,103.3242,103.3242,103.3242
05/12/2023,103.0133,103.0133,103.0133,103.0133
04/12/2023,102.5564,102.5564,102.5564,102.5564
01/12/2023,100.9831,100.9831,100.9831,100.9831
30/11/2023,100.4334,100.4334,100.4334,100.4334
29/11/2023,100.2161,100.2161,100.2161,100.2161
28/11/2023,99.4076,99.4076,99.4076,99.4076
24/11/2023,99.1546,99.1546,99.1546,99.1546
23/11/2023,99.2076,99.2076,99.2076,99.2076
22/11/2023,99.2784,99.2784,99.2784,99.2784
21/11/2023,99.1417,99.1417,99.1417,99.1417
20/11/2023,98.8772,98.8772,98.8772,98.8772
17/11/2023,99.026,99.026,99.026,99.026
16/11/2023,99.2089,99.2089,99.2089,99.2089
15/11/2023,98.8858,98.8858,98.8858,98.8858
13/11/2023,98.0123,98.0123,98.0123,98.0123
10/11/2023,97.9195,97.9195,97.9195,97.9195
09/11/2023,97.8644,97.8644,97.8644,97.8644
08/11/2023,98.021,98.021,98.021,98.021
07/11/2023,97.923,97.923,97.923,97.923
06/11/2023,97.854,97.854,97.854,97.854
03/11/2023,97.2233,97.2233,97.2233,97.2233
02/11/2023,96.743,96.743,96.743,96.743
01/11/2023,96.1048,96.1048,96.1048,96.1048
31/10/2023,96.352,96.352,96.352,96.352
30/10/2023,96.5963,96.5963,96.5963,96.5963
27/10/2023,96.3411,96.3411,96.3411,96.3411
26/10/2023,95.508,95.508,95.508,95.508
25/10/2023,96.3858,96.3858,96.3858,96.3858
23/10/2023,96.8968,96.8968,96.8968,96.8968
20/10/2023,97.9286,97.9286,97.9286,97.9286
19/10/2023,98.3017,98.3017,98.3017,98.3017
18/10/2023,98.4859,98.4859,98.4859,98.4859
17/10/2023,99.017,99.017,99.017,99.017
16/10/2023,98.7601,98.7601,98.7601,98.7601
13/10/2023,98.8121,98.8121,98.8121,98.8121
12/10/2023,99.0217,99.0217,99.0217,99.0217
11/10/2023,99.0925,99.0925,99.0925,99.0925
10/10/2023,98.6221,98.6221,98.6221,98.6221
09/10/2023,97.958,97.958,97.958,97.958
06/10/2023,98.522,98.522,98.522,98.522
05/10/2023,98.2636,98.2636,98.2636,98.2636
04/10/2023,97.8185,97.8185,97.8185,97.8185
03/10/2023,98.3917,98.3917,98.3917,98.3917
30/09/2023,98.6836,98.6836,98.6836,98.6836
29/09/2023,98.6834,98.6834,98.6834,98.6834
28/09/2023,98.2742,98.2742,98.2742,98.2742
27/09/2023,99.0052,99.0052,99.0052,99.0052
26/09/2023,98.8404,98.8404,98.8404,98.8404
25/09/2023,98.8781,98.8781,98.8781,98.8781
22/09/2023,98.9496,98.9496,98.9496,98.9496
21/09/2023,99.17,99.17,99.17,99.17
20/09/2023,99.8331,99.8331,99.8331,99.8331
18/09/2023,100.7038,100.7038,100.7038,100.7038
15/09/2023,100.8977,100.8977,100.8977,100.8977
14/09/2023,100.6234,100.6234,100.6234,100.6234
13/09/2023,100.3593,100.3593,100.3593,100.3593
12/09/2023,100.077,100.077,100.077,100.077
11/09/2023,100.3522,100.3522,100.3522,100.3522
08/09/2023,99.7713,99.7713,99.7713,99.7713
07/09/2023,99.4005,99.4005,99.4005,99.4005
06/09/2023,98.9617,98.9617,98.9617,98.9617
05/09/2023,98.8854,98.8854,98.8854,98.8854
04/09/2023,98.7071,98.7071,98.7071,98.7071
01/09/2023,98.3171,98.3171,98.3171,98.3171
31/08/2023,97.7079,97.7079,97.7079,97.7079
30/08/2023,97.955,97.955,97.955,97.955
29/08/2023,97.9145,97.9145,97.9145,97.9145
28/08/2023,97.7326,97.7326,97.7326,97.7326
25/08/2023,97.5469,97.5469,97.5469,97.5469
24/08/2023,98.0612,98.0612,98.0612,98.0612
23/08/2023,98.199,98.199,98.199,98.199
22/08/2023,97.911,97.911,97.911,97.911
21/08/2023,97.7775,97.7775,97.7775,97.7775
18/08/2023,97.4382,97.4382,97.4382,97.4382
17/08/2023,97.6649,97.6649,97.6649,97.6649
16/08/2023,97.9737,97.9737,97.9737,97.9737
14/08/2023,97.7537,97.7537,97.7537,97.7537
11/08/2023,97.7483,97.7483,97.7483,97.7483
10/08/2023,98.1955,98.1955,98.1955,98.1955
09/08/2023,98.5066,98.5066,98.5066,98.5066
08/08/2023,98.3251,98.3251,98.3251,98.3251
07/08/2023,98.2708,98.2708,98.2708,98.2708
04/08/2023,97.9597,97.9597,97.9597,97.9597
03/08/2023,97.5584,97.5584,97.5584,97.5584
02/08/2023,98.0917,98.0917,98.0917,98.0917
01/08/2023,98.8994,98.8994,98.8994,98.8994
31/07/2023,98.8381,98.8381,98.8381,98.8381
28/07/2023,98.4119,98.4119,98.4119,98.4119
27/07/2023,98.5077,98.5077,98.5077,98.5077
26/07/2023,98.8838,98.8838,98.8838,98.8838
25/07/2023,98.5327,98.5327,98.5327,98.5327
24/07/2023,98.517,98.517,98.517,98.517
21/07/2023,98.7141,98.7141,98.7141,98.7141
20/07/2023,99.5168,99.5168,99.5168,99.5168
19/07/2023,99.0585,99.0585,99.0585,99.0585
18/07/2023,98.7005,98.7005,98.7005,98.7005
17/07/2023,98.5361,98.5361,98.5361,98.5361
14/07/2023,97.9171,97.9171,97.9171,97.9171
13/07/2023,97.3772,97.3772,97.3772,97.3772
12/07/2023,97.2116,97.2116,97.2116,97.2116
11/07/2023,97.4454,97.4454,97.4454,97.4454
10/07/2023,97.0889,97.0889,97.0889,97.0889
07/07/2023,97.0756,97.0756,97.0756,97.0756
06/07/2023,97.6851,97.6851,97.6851,97.6851
05/07/2023,97.3469,97.3469,97.3469,97.3469
04/07/2023,97.2563,97.2563,97.2563,97.2563
03/07/2023,97.0305,97.0305,97.0305,97.0305
30/06/2023,96.5891,96.5891,96.5891,96.5891
28/06/2023,95.8152,95.8152,95.8152,95.8152
27/06/2023,95.2546,95.2546,95.2546,95.2546
26/06/2023,94.8128,94.8128,94.8128,94.8128
23/06/2023,94.6502,94.6502,94.6502,94.6502
22/06/2023,95.0315,95.0315,95.0315,95.0315
21/06/2023,95.3869,95.3869,95.3869,95.3869
20/06/2023,95.3561,95.3561,95.3561,95.3561
19/06/2023,95.2327,95.2327,95.2327,95.2327
16/06/2023,95.4194,95.4194,95.4194,95.4194
15/06/2023,94.8413,94.8413,94.8413,94.8413
14/06/2023,95.1002,95.1002,95.1002,95.1002
13/06/2023,95.0062,95.0062,95.0062,95.0062
12/06/2023,94.5041,94.5041,94.5041,94.5041
09/06/2023,94.343,94.343,94.343,94.343
08/06/2023,94.5596,94.5596,94.5596,94.5596
07/06/2023,94.9411,94.9411,94.9411,94.9411
06/06/2023,94.4249,94.4249,94.4249,94.4249
05/06/2023,94.331,94.331,94.331,94.331
02/06/2023,93.9764,93.9764,93.9764,93.9764
01/06/2023,93.7446,93.7446,93.7446,93.7446
31/05/2023,93.8699,93.8699,93.8699,93.8699
30/05/2023,94.0637,94.0637,94.0637,94.0637
29/05/2023,93.9365,93.9365,93.9365,93.9365
26/05/2023,93.5628,93.5628,93.5628,93.5628
25/05/2023,92.9006,92.9006,92.9006,92.9006
24/05/2023,92.8814,92.8814,92.8814,92.8814
23/05/2023,93.009,93.009,93.009,93.009
22/05/2023,92.9817,92.9817,92.9817,92.9817
19/05/2023,92.6925,92.6925,92.6925,92.6925
18/05/2023,92.3272,92.3272,92.3272,92.3272
17/05/2023,92.6157,92.6157,92.6157,92.6157
16/05/2023,92.9328,92.9328,92.9328,92.9328
15/05/2023,93.1604,93.1604,93.1604,93.1604
12/05/2023,92.7536,92.7536,92.7536,92.7536
11/05/2023,92.6156,92.6156,92.6156,92.6156
10/05/2023,92.6107,92.6107,92.6107,92.6107
09/05/2023,92.4111,92.4111,92.4111,92.4111
08/05/2023,92.3745,92.3745,92.3745,92.3745
05/05/2023,91.6231,91.6231,91.6231,91.6231
04/05/2023,92.2662,92.2662,92.2662,92.2662
03/05/2023,91.67,91.67,91.67,91.67
02/05/2023,91.7133,91.7133,91.7133,91.7133
28/04/2023,91.3406,91.3406,91.3406,91.3406
27/04/2023,90.7569,90.7569,90.7569,90.7569
26/04/2023,90.3401,90.3401,90.3401,90.3401
25/04/2023,90.1653,90.1653,90.1653,90.1653
24/04/2023,90.0315,90.0315,90.0315,90.0315
21/04/2023,89.5877,89.5877,89.5877,89.5877
20/04/2023,89.7147,89.7147,89.7147,89.7147
19/04/2023,89.6403,89.6403,89.6403,89.6403
18/04/2023,89.903,89.903,89.903,89.903
17/04/2023,89.9319,89.9319,89.9319,89.9319
13/04/2023,90.4578,90.4578,90.4578,90.4578
12/04/2023,90.4102,90.4102,90.4102,90.4102
11/04/2023,89.9906,89.9906,89.9906,89.9906
10/04/2023,89.6911,89.6911,89.6911,89.6911
06/04/2023,89.6126,89.6126,89.6126,89.6126
05/04/2023,89.387,89.387,89.387,89.387
03/04/2023,88.8721,88.8721,88.8721,88.8721
31/03/2023,88.7568,88.7568,88.7568,88.7568
29/03/2023,87.5858,87.5858,87.5858,87.5858
28/03/2023,87.0449,87.0449,87.0449,87.0449
27/03/2023,87.1926,87.1926,87.1926,87.1926
24/03/2023,87.1083,87.1083,87.1083,87.1083
23/03/2023,87.609,87.609,87.609,87.609
22/03/2023,87.8869,87.8869,87.8869,87.8869
21/03/2023,87.6742,87.6742,87.6742,87.6742
20/03/2023,87.1406,87.1406,87.1406,87.1406
17/03/2023,87.5483,87.5483,87.5483,87.5483
16/03/2023,87.0756,87.0756,87.0756,87.0756
15/03/2023,87.0554,87.0554,87.0554,87.0554
14/03/2023,87.3864,87.3864,87.3864,87.3864
13/03/2023,87.6284,87.6284,87.6284,87.6284
10/03/2023,88.6919,88.6919,88.6919,88.6919
09/03/2023,89.3425,89.3425,89.3425,89.3425
08/03/2023,89.9162,89.9162,89.9162,89.9162
06/03/2023,89.8061,89.8061,89.8061,89.8061
03/03/2023,89.4137,89.4137,89.4137,89.4137
02/03/2023,88.4977,88.4977,88.4977,88.4977
01/03/2023,89.0106,89.0106,89.0106,89.0106
28/02/2023,88.4836,88.4836,88.4836,88.4836
27/02/2023,88.7956,88.7956,88.7956,88.7956
24/02/2023,89.0776,89.0776,89.0776,89.0776
